name,code,date,open,low,high,price,volume,change,sentiment,target
AIRASIA GROUP BERHAD,5099,2019-04-23,2.47,2.46,2.52,2.49,6047600.0,0.008097166,0.0,buy
GENTING BHD,3182,2019-02-25,7.52,7.38,7.56,7.4,2162400.0,0.0,0.0,hold
GENTING BHD,3182,2019-02-26,7.4,7.4,7.48,7.44,2324900.0,0.005405405,0.0,buy
GENTING BHD,3182,2019-02-27,7.44,7.3,7.44,7.32,3272700.0,-0.016129031999999998,0.0,sell
GENTING BHD,3182,2019-02-28,7.5,7.37,7.53,7.37,5232500.0,0.006830601,0.0,buy
GENTING BHD,3182,2019-03-01,7.37,7.17,7.37,7.24,5046100.0,-0.017639077,0.0,sell
GENTING BHD,3182,2019-03-04,7.2,7.11,7.23,7.13,4813000.0,-0.01519337,0.0,sell
GENTING BHD,3182,2019-03-05,7.1,7.1,7.22,7.11,3271600.0,-0.0028050490000000004,0.0,hold
GENTING BHD,3182,2019-03-06,7.17,7.15,7.21,7.15,2526100.0,0.005625879,0.0,buy
GENTING BHD,3182,2019-03-07,7.15,7.06,7.16,7.12,1919100.0,-0.004195804,0.0,hold
GENTING BHD,3182,2019-03-08,7.15,7.05,7.15,7.05,1590100.0,-0.009831461,0.0,sell
GENTING BHD,3182,2019-03-11,7.08,6.97,7.1,6.98,3691100.0,-0.009929078,0.0,sell
GENTING BHD,3182,2019-03-12,6.99,6.97,7.03,7.01,2782300.0,0.004297994,0.0,buy
GENTING BHD,3182,2019-03-13,7.01,6.99,7.05,7.01,3054300.0,0.0,1.0,buy
GENTING BHD,3182,2019-03-14,7.05,6.97,7.05,6.98,2410500.0,-0.004279601,0.0,hold
GENTING BHD,3182,2019-03-15,6.98,6.87,6.99,6.95,9509800.0,-0.004297994,0.0,hold
GENTING BHD,3182,2019-03-18,6.95,6.95,7.06,7.03,2462600.0,0.011510791,0.0,buy
GENTING BHD,3182,2019-03-19,7.0,6.9,7.03,6.93,3708900.0,-0.014224751,0.0,sell
GENTING BHD,3182,2019-03-20,6.93,6.9,6.97,6.93,2923800.0,0.0,0.0,hold
GENTING BHD,3182,2019-03-21,6.93,6.88,6.96,6.91,5244200.0,-0.002886003,0.0,hold
GENTING BHD,3182,2019-03-22,6.9,6.85,6.98,6.92,3026400.0,0.001447178,0.0,hold
GENTING BHD,3182,2019-03-25,6.92,6.84,6.92,6.86,2392000.0,-0.00867052,0.0,sell
GENTING BHD,3182,2019-03-26,6.86,6.78,6.9,6.78,2053100.0,-0.011661808,0.0,sell
GENTING BHD,3182,2019-03-27,6.78,6.61,6.8,6.61,4202900.0,-0.025073746,0.0,sell
GENTING BHD,3182,2019-03-28,6.67,6.64,6.79,6.7,6496800.0,0.013615734,0.0,buy
GENTING BHD,3182,2019-03-29,6.77,6.57,6.79,6.64,8446400.0,-0.008955224,0.0,sell
GENTING BHD,3182,2019-04-01,6.69,6.55,6.69,6.6,6880400.0,-0.006024096,0.0,sell
GENTING BHD,3182,2019-04-02,6.66,6.63,6.72,6.7,2858300.0,0.015151515,0.0,buy
GENTING BHD,3182,2019-04-03,6.75,6.73,6.96,6.95,3851900.0,0.037313433,1.0,buy
GENTING BHD,3182,2019-04-03,6.75,6.73,6.96,6.95,3851900.0,0.037313433,1.0,buy
GENTING BHD,3182,2019-04-04,6.9,6.77,6.9,6.8,3581000.0,-0.021582734,0.0,sell
GENTING BHD,3182,2019-04-05,6.8,6.77,6.83,6.78,1844200.0,-0.002941176,0.0,hold
GENTING BHD,3182,2019-04-08,6.8,6.8,6.85,6.83,2900900.0,0.007374630999999999,1.0,buy
GENTING BHD,3182,2019-04-08,6.8,6.8,6.85,6.83,2900900.0,0.007374630999999999,1.0,buy
GENTING BHD,3182,2019-04-09,6.83,6.81,6.84,6.83,1974400.0,0.0,-1.0,sell
GENTING BHD,3182,2019-04-10,6.82,6.75,6.82,6.79,2221500.0,-0.005856515,0.0,sell
GENTING BHD,3182,2019-04-10,6.82,6.75,6.82,6.79,2221500.0,-0.005856515,-1.0,sell
GENTING BHD,3182,2019-04-11,6.79,6.68,6.8,6.68,2334800.0,-0.016200295,0.0,sell
GENTING BHD,3182,2019-04-12,6.7,6.69,6.77,6.7,2048700.0,0.0029940120000000003,0.0,buy
GENTING BHD,3182,2019-04-15,6.7,6.68,6.76,6.69,1520100.0,-0.0014925370000000002,1.0,buy
GENTING BHD,3182,2019-04-17,6.72,6.65,6.75,6.75,2663100.0,0.00896861,1.0,buy
GENTING BHD,3182,2019-04-17,6.72,6.65,6.75,6.75,2663100.0,0.00896861,1.0,buy
GENTING BHD,3182,2019-04-18,6.77,6.67,6.77,6.73,1428000.0,-0.002962963,1.0,buy
GENTING BHD,3182,2019-04-18,6.77,6.67,6.77,6.73,1428000.0,-0.002962963,-1.0,sell
GENTING BHD,3182,2019-04-19,6.74,6.71,6.79,6.78,1713300.0,0.0074294209999999986,1.0,buy
GENTING BHD,3182,2019-04-19,6.74,6.71,6.79,6.78,1713300.0,0.0074294209999999986,1.0,buy
GENTING BHD,3182,2019-04-22,6.78,6.78,6.84,6.79,3071800.0,0.001474926,-1.0,sell
GENTING BHD,3182,2019-04-22,6.78,6.78,6.84,6.79,3071800.0,0.001474926,0.0,hold
GENTING BHD,3182,2019-04-23,6.8,6.79,6.82,6.81,1391700.0,0.002945508,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-02-25,2.82,2.8,2.89,2.83,87300.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-02-26,2.88,2.78,2.88,2.84,67700.0,0.0035335690000000007,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-02-27,2.88,2.79,2.88,2.83,47100.0,-0.003521127,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-02-28,2.83,2.76,2.84,2.79,89400.0,-0.014134276,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-03-01,2.82,2.76,2.82,2.82,51800.0,0.010752688,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-03-04,2.82,2.77,2.82,2.78,128700.0,-0.014184397,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-03-05,2.78,2.77,2.84,2.8,120000.0,0.007194245,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-03-06,2.82,2.79,2.82,2.8,57300.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-07,2.8,2.78,2.84,2.8,134900.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-08,2.78,2.77,2.81,2.79,86800.0,-0.003571429,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-11,2.84,2.7,2.84,2.77,115200.0,-0.007168459,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-03-12,2.72,2.72,2.78,2.76,110200.0,-0.003610108,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-13,2.77,2.69,2.77,2.69,195200.0,-0.025362319,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-03-14,2.69,2.68,2.72,2.7,83600.0,0.003717472,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-03-15,2.75,2.68,2.75,2.7,100900.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-18,2.7,2.68,2.74,2.7,89700.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-19,2.68,2.68,2.73,2.7,37000.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-20,2.7,2.69,2.74,2.73,61600.0,0.011111111000000002,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-03-21,2.74,2.7,2.74,2.72,38400.0,-0.003663004,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-22,2.69,2.68,2.75,2.72,35300.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-25,2.7,2.68,2.72,2.7,54600.0,-0.007352941,1.0,buy
HAI-O ENTERPRISE BHD,7668,2019-03-25,2.7,2.68,2.72,2.7,54600.0,-0.007352941,-1.0,sell
HAI-O ENTERPRISE BHD,7668,2019-03-26,2.68,2.57,2.68,2.58,586300.0,-0.044444444000000013,1.0,buy
HAI-O ENTERPRISE BHD,7668,2019-03-26,2.68,2.57,2.68,2.58,586300.0,-0.044444444000000013,-1.0,sell
HAI-O ENTERPRISE BHD,7668,2019-03-27,2.58,2.56,2.6,2.58,201700.0,0.0,1.0,buy
HAI-O ENTERPRISE BHD,7668,2019-03-27,2.58,2.56,2.6,2.58,201700.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-28,2.58,2.56,2.59,2.58,125800.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-03-29,2.56,2.53,2.57,2.54,140700.0,-0.015503876000000003,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-04-01,2.52,2.47,2.57,2.48,488700.0,-0.023622047,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-04-02,2.48,2.47,2.5,2.5,187400.0,0.008064515999999999,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-04-03,2.49,2.49,2.55,2.53,103800.0,0.012,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-04-04,2.56,2.5,2.62,2.53,230400.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-04-05,2.51,2.48,2.57,2.52,340100.0,-0.003952569,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-04-08,2.53,2.49,2.53,2.5,260600.0,-0.007936508,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-04-09,2.49,2.47,2.5,2.5,437100.0,0.0,1.0,buy
HAI-O ENTERPRISE BHD,7668,2019-04-10,2.5,2.48,2.57,2.56,154100.0,0.024,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-04-11,2.56,2.51,2.65,2.53,317100.0,-0.01171875,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-04-12,2.54,2.51,2.56,2.53,146700.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-04-15,2.55,2.51,2.55,2.53,130700.0,0.0,0.0,hold
HAI-O ENTERPRISE BHD,7668,2019-04-17,2.54,2.5,2.54,2.51,100400.0,-0.007905138,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-04-18,2.51,2.49,2.52,2.52,53100.0,0.003984064,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-04-19,2.5,2.5,2.55,2.54,37500.0,0.007936508,0.0,buy
HAI-O ENTERPRISE BHD,7668,2019-04-22,2.54,2.51,2.55,2.51,251500.0,-0.011811024,0.0,sell
HAI-O ENTERPRISE BHD,7668,2019-04-23,2.52,2.52,2.55,2.53,142000.0,0.007968127,0.0,buy
NESTLE (M) BHD,4707,2019-02-25,149.5,149.1,150.0,149.5,37100.0,0.0,0.0,hold
NESTLE (M) BHD,4707,2019-02-26,149.5,147.5,149.7,149.0,61400.0,-0.003344482,0.0,hold
NESTLE (M) BHD,4707,2019-02-27,149.6,148.1,149.8,148.5,42300.0,-0.003355705,0.0,hold
NESTLE (M) BHD,4707,2019-02-28,148.9,147.7,148.9,148.0,197100.0,-0.003367003,0.0,hold
NESTLE (M) BHD,4707,2019-03-01,148.0,148.0,149.4,149.4,17500.0,0.009459459,0.0,buy
NESTLE (M) BHD,4707,2019-03-04,147.9,147.9,149.3,148.8,39500.0,-0.004016064000000001,0.0,hold
NESTLE (M) BHD,4707,2019-03-05,148.4,147.0,148.9,147.0,38500.0,-0.012096774,0.0,sell
NESTLE (M) BHD,4707,2019-03-06,146.5,146.5,147.7,147.3,51800.0,0.002040816,0.0,hold
NESTLE (M) BHD,4707,2019-03-07,148.0,147.9,148.4,148.1,38900.0,0.0054310930000000006,0.0,buy
NESTLE (M) BHD,4707,2019-03-08,148.1,147.4,148.1,147.8,44400.0,-0.002025658,0.0,hold
NESTLE (M) BHD,4707,2019-03-11,147.6,147.3,148.2,147.7,60100.0,-0.00067659,0.0,hold
NESTLE (M) BHD,4707,2019-03-12,146.9,146.9,149.0,148.8,15300.0,0.007447529,0.0,buy
NESTLE (M) BHD,4707,2019-03-13,147.5,147.5,148.5,148.5,65500.0,-0.002016129,0.0,hold
NESTLE (M) BHD,4707,2019-03-14,148.0,147.9,148.7,148.0,24700.0,-0.003367003,-1.0,sell
NESTLE (M) BHD,4707,2019-03-15,147.4,147.4,149.0,148.7,174400.0,0.00472973,-1.0,buy
NESTLE (M) BHD,4707,2019-03-15,147.4,147.4,149.0,148.7,174400.0,0.00472973,-1.0,buy
NESTLE (M) BHD,4707,2019-03-18,148.6,147.6,148.7,148.5,26200.0,-0.00134499,0.0,hold
NESTLE (M) BHD,4707,2019-03-19,148.6,147.6,148.6,147.8,37100.0,-0.004713805,0.0,hold
NESTLE (M) BHD,4707,2019-03-20,147.6,147.5,148.0,147.7,146800.0,-0.00067659,0.0,hold
NESTLE (M) BHD,4707,2019-03-21,147.8,144.4,148.4,145.5,309800.0,-0.014895058,0.0,sell
NESTLE (M) BHD,4707,2019-03-22,145.1,143.4,146.2,146.2,275200.0,0.004810997,0.0,buy
