name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
INARI AMERTRON BERHAD-WARRANTS B 15/20,0166WB,19-Apr-19,7:11 PM,1.29,1.24,1.31,1.24,"3,719",1.230 / 20,1.240 / 12
INCH KENNETH KAJANG RUBBER PLC,2607,19-Apr-19,7:11 PM,0.645,0.64,0.645,0.64,70,0.635 / 50,0.645 / 30
INIX TECHNOLOGIES HOLDINGS BHD,94,19-Apr-19,7:11 PM,0.075,0.06,0.075,0.065,"147,828","0.060 / 24,306","0.065 / 2,624"
INIX TECHNOLOGIES HOLDINGS BERHAD - WARRANTS A 2015/2020,0094WA,19-Apr-19,7:11 PM,0.025,0.025,0.025,0.025,"7,598",0.025 / 340,"0.030 / 9,323"
INNITY CORPORATION BHD,147,19-Apr-19,7:11 PM,0.5,0.49,0.51,0.49,374,0.490 / 36,0.510 / 56
INNOPRISE PLANTATIONS BERHAD,6262,19-Apr-19,7:11 PM,0.75,0.75,0.8,0.79,271,0.780 / 31,0.790 / 53
INSAS BHD,3379,19-Apr-19,7:11 PM,0.8,0.79,0.8,0.795,"5,194",0.790 / 13,0.795 / 121
INSAS BERHAD-PREFERENCE SHARES A,3379PA,19-Apr-19,7:11 PM,-,-,-,0.99,0,0.985 / 217,0.995 / 63
INSAS BERHAD - WB 15/20,3379WB,19-Apr-19,7:11 PM,0.075,0.065,0.075,0.07,"4,880","0.065 / 1,839","0.070 / 1,583"
INTA BINA GROUP BERHAD,192,19-Apr-19,7:11 PM,0.27,0.27,0.28,0.28,"20,267",0.275 / 31,"0.280 / 4,110"
IOI CORPORATION BHD,1961,19-Apr-19,7:11 PM,4.44,4.44,4.48,4.47,"15,703",4.470 / 198,4.480 / 157
IOICORP-C19: CW IOI CORPORATION BERHAD (CIMB),196119,19-Apr-19,7:11 PM,-,-,-,0.035,0,0.000 / 0,0.025 / 5
IOICORP-C20: CW IOI CORPORATION BERHAD (KIBB),196120,19-Apr-19,7:11 PM,-,-,-,0.085,0,0.000 / 0,0.000 / 0
IOICORP-C21: CW IOI CORPORATION BERHAD (MIBB),196121,19-Apr-19,7:11 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
IOI PROPERTIES GROUP BERHAD,5249,19-Apr-19,7:11 PM,1.31,1.29,1.31,1.29,"15,522",1.290 / 708,"1.300 / 2,765"
IOIPG-CV: CW IOI PROPERTIES GROUP BERHAD (RHB),5249CV,19-Apr-19,7:11 PM,-,-,-,0.075,0,0.000 / 0,0.085 / 220
IPMUDA BHD,5673,19-Apr-19,7:11 PM,-,-,-,0.53,0,0.500 / 44,0.520 / 20
IQ GROUP HOLDINGS BHD,5107,19-Apr-19,7:11 PM,-,-,-,1.12,0,1.140 / 63,1.190 / 120
IREKA CORPORATION BHD,8834,19-Apr-19,7:11 PM,-,-,-,0.55,0,0.520 / 490,0.550 / 20
IREKA CORPORATION BERHAD-WB 14/19,8834WB,19-Apr-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 2,817"
IRE-TEX CORPORATION BHD,7183,19-Apr-19,7:11 PM,0.14,0.14,0.14,0.14,"1,424",0.140 / 376,0.145 / 650
IRE-TEX CORPORATION BERHAD-ICULS 14/19,7183LA,19-Apr-19,7:11 PM,-,-,-,0.015,0,"0.015 / 38,281","0.020 / 41,229"
IRE-TEX CORPORATION BERHAD-WARRANTS 14/19,7183WA,19-Apr-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 19,760"
IRIS CORPORATION BHD,10,19-Apr-19,7:11 PM,0.155,0.155,0.17,0.165,"895,183","0.160 / 138,732","0.165 / 66,368"
INDUSTRONICS BHD,9393,19-Apr-19,7:11 PM,-,-,-,0.095,0,"0.095 / 6,098","0.105 / 1,227"
IVORY PROPERTIES GROUP BERHAD,5175,19-Apr-19,7:11 PM,0.195,0.195,0.195,0.195,"1,386","0.195 / 1,814","0.200 / 2,809"
ISKANDAR WATERFRONT CITY BERHAD,1589,19-Apr-19,7:11 PM,0.99,0.92,1.03,1.02,"1,684,374","1.020 / 16,909","1.030 / 5,269"
JADI IMAGING HOLDINGS BHD,7223,19-Apr-19,7:11 PM,0.035,0.035,0.035,0.035,"10,505","0.035 / 135,175","0.040 / 17,557"
JAG BERHAD,24,19-Apr-19,7:11 PM,0.05,0.045,0.05,0.05,"4,320","0.045 / 357,165","0.050 / 85,344"
JAG BERHAD-WARRANTS A 2014/2019,0024WA,19-Apr-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 170,721"
JAG BERHAD - WARRANTS 2017/2020,0024WB,19-Apr-19,7:11 PM,-,-,-,0.01,0,"0.005 / 130,489","0.010 / 8,906"
JAKS RESOURCES BERHAD,4723,19-Apr-19,7:11 PM,0.805,0.75,0.81,0.77,"132,185","0.770 / 1,060","0.775 / 2,530"
JAKS RESOURCES BERHAD-WARRANTS B,4723WB,19-Apr-19,7:11 PM,0.56,0.53,0.56,0.535,"10,222",0.535 / 475,0.540 / 100
JASA KITA BHD,8648,19-Apr-19,7:11 PM,-,-,-,0.12,0,"0.115 / 5,400",0.130 / 800
JAYCORP BHD,7152,19-Apr-19,7:11 PM,0.94,0.94,0.94,0.94,50,0.915 / 100,0.940 / 350
JCBNEXT BERHAD,58,19-Apr-19,7:11 PM,-,-,-,1.53,0,1.440 / 20,1.480 / 92
JCY INTERNATIONAL BERHAD,5161,19-Apr-19,7:11 PM,0.195,0.19,0.195,0.19,"8,224","0.190 / 6,734",0.195 / 25
JERASIA CAPITAL BHD,8931,19-Apr-19,7:11 PM,-,-,-,0.4,0,0.375 / 300,0.395 / 100
KUMPULAN JETSON BHD,9083,19-Apr-19,7:11 PM,-,-,-,0.175,0,0.170 / 391,"0.175 / 1,500"
